Components,Quantity,Link,Prices,sources from bought items
PAM 8403,1,Robocraze PAM8403 3W Digital power Audio Amplifier Board USB DC 2.5V ~ 5V. Class D : Amazon.in,₹120.00,from local market
Step up mudule,1,Robocraze XL6009 DC-DC Step-up Module with Adjustable Booster Power Supply Module : Amazon.in,₹180.00,online from amazon
12v DC fan,1,"Electronic Spices DC 12V 2.5'' INCH Cooling Fan for PC Case, CPU Cooler Radiator 65x65x15mm (Black) : Amazon.in",₹120.00,offline from local market
Heat sink,1,"ICSTORE Heat sink Aluminum,3.45cm X 4.5cm x 1.35cm, Heat sink for Cooling, Peltier Laptop CPU GPU VGA RAM VRAM VRM IC LED MOSFET Transistor SCR - Pack of 2 : Amazon.in",₹150.00,online from amazon
Black paint,1,https://www.amazon.in/gp/product/B0DRW97QZJ/ref=ox_sc_act_title_2?smid=A2HOQVMLY73OM5&psc=1,₹200.00,from local store
Super glue,2,EVO BOND 502 Super Glue CYANOACRYLATE Adhesive NET 20 GM (Pack of 2) : Amazon.in,₹150.00,from local store
PVC sheets,5,"PVC Wall Panel - PVC Sheet For Wall Latest Price, Manufacturers & Suppliers",₹0.00,reused from left over peices after home renovation
phone,1,Samsung Galaxy M01 - SamMobile,₹0.00,reused e-waste from home
bluetooth module,1, from old wireless earphones,₹0.00,reused e-waste from home
solder wire,1,SP Electronic Solder 60/40 Tin Lead Roll for Soldering Solder Wire 50 Grams Reel 50Grams Solder-Wire Spool - DIY Hobby Works Projects + 15gm Flux : Amazon.in,₹90.00,from local market
TOTAL,,,$11.12,